"Index","Name","Ticker"
"WIG30","ALIOR","ALR"
"WIG30","ALLEGRO","ALE"
"WIG30","AMREST","EAT"
"WIG30","ASSECOPOL","ACP"
"WIG30","CCC","CCC"
"WIG30","CDPROJEKT","CDR"
"WIG30","CYFRPLSAT","CPS"
"WIG30","DINOPL","DNP"
"WIG30","ENEA","ENA"
"WIG30","EUROCASH","EUR"
"WIG30","GRUPAAZOTY","ATT"
"WIG30","INGBSK","ING"
"WIG30","JSW","JSW"
"WIG30","KERNEL","KER"
"WIG30","KETY","KTY"
"WIG30","KGHM","KGH"
"WIG30","KRUK","KRU"
"WIG30","LOTOS","LTS"
"WIG30","LPP","LPP"
"WIG30","MBANK","MBK"
"WIG30","MILLENNIUM","MIL"
"WIG30","ORANGEPL","OPL"
"WIG30","PEKAO","PEO"
"WIG30","PGE","PGE"
"WIG30","PGNIG","PGN"
"WIG30","PKNORLEN","PKN"
"WIG30","PKOBP","PKO"
"WIG30","PZU","PZU"
"WIG30","SANPL","SPL"
"WIG30","TAURONPE","TPE"
"WIG20","ALIOR","ALR"
"WIG20","ALLEGRO","ALE"
"WIG20","ASSECOPOL","ACP"
"WIG20","CCC","CCC"
"WIG20","CDPROJEKT","CDR"
"WIG20","CYFRPLSAT","CPS"
"WIG20","DINOPL","DNP"
"WIG20","JSW","JSW"
"WIG20","KGHM","KGH"
"WIG20","LOTOS","LTS"
"WIG20","LPP","LPP"
"WIG20","ORANGEPL","OPL"
"WIG20","PEKAO","PEO"
"WIG20","PGE","PGE"
"WIG20","PGNIG","PGN"
"WIG20","PKNORLEN","PKN"
"WIG20","PKOBP","PKO"
"WIG20","PZU","PZU"
"WIG20","SANPL","SPL"
"WIG20","TAURONPE","TPE"
"WIG","06MAGNA","06N"
"WIG","11BIT","11B"
"WIG","4FUNMEDIA","4FM"
"WIG","ABPL","ABE"
"WIG","ACAUTOGAZ","ACG"
"WIG","ADIUVO","ADV"
"WIG","AGORA","AGO"
"WIG","AGROTON","AGT"
"WIG","AIGAMES","ALG"
"WIG","AILLERON","ALL"
"WIG","AIRWAY","AWM"
"WIG","ALIOR","ALR"
"WIG","ALLEGRO","ALE"
"WIG","ALTA","AAT"
"WIG","ALTUSTFI","ALI"
"WIG","ALUMETAL","AML"
"WIG","AMBRA","AMB"
"WIG","AMICA","AMC"
"WIG","AMREST","EAT"
"WIG","APATOR","APT"
"WIG","APLISENS","APN"
"WIG","APSENERGY","APE"
"WIG","ARCHICOM","ARH"
"WIG","ARCTIC","ATC"
"WIG","ARTERIA","ARR"
"WIG","ARTIFEX","ART"
"WIG","ASBIS","ASB"
"WIG","ASMGROUP","ASM"
"WIG","ASSECOBS","ABS"
"WIG","ASSECOPOL","ACP"
"WIG","ASSECOSEE","ASE"
"WIG","ASTARTA","AST"
"WIG","ATAL","1AT"
"WIG","ATENDE","ATD"
"WIG","ATLANTAPL","ATP"
"WIG","ATLANTIS","ATS"
"WIG","ATLASEST","ATL"
"WIG","ATMGRUPA","ATG"
"WIG","ATREM","ATR"
"WIG","AUGA","AUG"
"WIG","AUTOPARTN","APR"
"WIG","BAHOLDING","BAH"
"WIG","BBIDEV","BBD"
"WIG","BEDZIN","BDZ"
"WIG","BENEFIT","BFT"
"WIG","BETACOM","BCM"
"WIG","BIK","BIK"
"WIG","BIOMEDLUB","BML"
"WIG","BIOTON","BIO"
"WIG","BNPPPL","BNP"
"WIG","BOGDANKA","LWB"
"WIG","BOOMBIT","BBT"
"WIG","BORYSZEW","BRS"
"WIG","BOS","BOS"
"WIG","BOWIM","BOW"
"WIG","BUDIMEX","BDX"
"WIG","BUMECH","BMC"
"WIG","CCC","CCC"
"WIG","CDPROJEKT","CDR"
"WIG","CDRL","CDL"
"WIG","CELTIC","CPD"
"WIG","CEZ","CEZ"
"WIG","CIECH","CIE"
"WIG","CIGAMES","CIG"
"WIG","CITYSERV","CTS"
"WIG","CLNPHARMA","CLN"
"WIG","CNT","CNT"
"WIG","COALENERG","CLE"
"WIG","COGNOR","COG"
"WIG","COMARCH","CMR"
"WIG","COMP","CMP"
"WIG","CORMAY","CRM"
"WIG","CPGROUP","CPG"
"WIG","CYFRPLSAT","CPS"
"WIG","DATAWALK","DAT"
"WIG","DEBICA","DBC"
"WIG","DECORA","DCR"
"WIG","DEKPOL","DEK"
"WIG","DELKO","DEL"
"WIG","DEVELIA","DVL"
"WIG","DINOPL","DNP"
"WIG","DOMDEV","DOM"
"WIG","ECHO","ECH"
"WIG","EDINVEST","EDI"
"WIG","EFEKT","EFK"
"WIG","EKOEXPORT","EEX"
"WIG","ELEKTROTI","ELT"
"WIG","ELKOP","EKP"
"WIG","ELZAB","ELZ"
"WIG","ENAP","ENP"
"WIG","ENEA","ENA"
"WIG","ENELMED","ENE"
"WIG","ENTER","ENT"
"WIG","ERBUD","ERB"
"WIG","ERG","ERG"
"WIG","ESOTIQ","EAH"
"WIG","EUCO","EUC"
"WIG","EUROCASH","EUR"
"WIG","EUROHOLD","EHG"
"WIG","EUROTEL","ETL"
"WIG","FAMUR","FMF"
"WIG","FASING","FSG"
"WIG","FEERUM","FEE"
"WIG","FERRO","FRO"
"WIG","FERRUM","FER"
"WIG","FON","FON"
"WIG","FORTE","FTE"
"WIG","GAMEOPS","GOP"
"WIG","GAMFACTOR","GIF"
"WIG","GETIN","GTN"
"WIG","GETINOBLE","GNB"
"WIG","GLCOSMED","GLC"
"WIG","GPW","GPW"
"WIG","GROCLIN","GCN"
"WIG","GRODNO","GRN"
"WIG","GRUPAAZOTY","ATT"
"WIG","GTC","GTC"
"WIG","HANDLOWY","BHW"
"WIG","HARPER","HRP"
"WIG","HELIO","HEL"
"WIG","HERKULES","HRS"
"WIG","HYDROTOR","HDR"
"WIG","I2DEV","I2D"
"WIG","IDEABANK","IDA"
"WIG","IFIRMA","IFI"
"WIG","IIAAV","IIA"
