id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
2015;Berlin-Mitte Value! Quiet courtyard/very central;2217;Ian;Mitte;Brunnenstr. SÃŒd;52,5345373224175;13,4025569268224;Entire home/apt;60;4;118;2018-10-28;3,76;4;141
2695;Prenzlauer Berg close to Mauerpark;2986;Michael;Pankow;Prenzlauer Berg Nordwest;52,5485127922166;13,4045528265875;Private room;17;2;6;2018-10-01;1,42;1;0
3176;Fabulous Flat in great Location;3718;Britta;Pankow;Prenzlauer Berg SÃŒdwest;52,5349961915867;13,4175786653333;Entire home/apt;90;62;143;2017-03-20;1,25;1;220
3309;BerlinSpot SchÃ¶neberg near KaDeWe;4108;Jana;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,49885493313;13,3490645334872;Private room;26;5;25;2018-08-16;0,39;1;297
7071;BrightRoom with sunny greenview!;17391;Bright;Pankow;Helmholtzplatz;52,5431572633131;13,4150911045157;Private room;42;2;197;2018-11-04;1,75;1;26
9991;Geourgeous flat - outstanding views;33852;Philipp;Pankow;Prenzlauer Berg SÃŒdwest;52,5330307680268;13,4160468239564;Entire home/apt;180;6;6;2018-07-23;0,15;1;137
14325;Apartment in Prenzlauer Berg;55531;Chris + Oliver;Pankow;Prenzlauer Berg Nordwest;52,5478464079922;13,4055622437225;Entire home/apt;70;90;23;2018-11-01;0,23;3;129
16401;APARTMENT TO RENT;59666;Melanie;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5105139960154;13,4578502381062;Private room;120;30;0;;;1;365
16644;In the Heart of Berlin - Kreuzberg;64696;Rene;Friedrichshain-Kreuzberg;nÃ¶rdliche Luisenstadt;52,5047922738592;13,4351018538861;Entire home/apt;90;60;48;2017-12-14;0,47;2;159
17409;Downtown Above The Roofs In Berlin;67590;Wolfram;Pankow;Prenzlauer Berg SÃŒdwest;52,5290709246738;13,4128433939849;Private room;45;3;279;2018-10-31;2,83;1;42
17904;Beautiful Kreuzberg studio/WiFi (reg. pend.);68997;Matthias;NeukÃ¶lln;ReuterstraÃe;52,4954763266239;13,4218212775367;Entire home/apt;49;5;223;2018-10-30;2,1;1;232
20858;Designer Loft in Berlin Mitte;71331;Marc;Pankow;Prenzlauer Berg SÃŒdwest;52,5369524319239;13,4076150326215;Entire home/apt;129;3;56;2018-10-20;0,75;1;166
21869;Studio in the Heart of Kreuzberg;64696;Rene;Friedrichshain-Kreuzberg;nÃ¶rdliche Luisenstadt;52,5027333340694;13,4346198578528;Entire home/apt;70;60;60;2016-06-05;0,61;2;129
22415;Stylishly furnished 3 room flat;86068;Kiki;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4948506198659;13,4285005981404;Entire home/apt;98;3;61;2018-10-01;0,59;2;257
22677;Prenzel garden with leafy terrace;87357;Ramfis;Mitte;Brunnenstr. SÃŒd;52,5343483632202;13,4055765171914;Entire home/apt;160;3;223;2018-11-05;2,27;1;228
23834;Apartment in the heart of Berlin;94918;Tanja;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4897144263237;13,379747575409;Entire home/apt;65;60;96;2018-06-30;0,94;1;275
24569;Sunny & Wheelchair accessible;99662;Dominik;Pankow;Prenzlauer Berg SÃŒdwest;52,5307908523084;13,4180844390199;Entire home/apt;90;3;18;2018-08-25;0,18;2;3
25653;Sunny & stylish 150 sqm apartment;99662;Dominik;Pankow;Prenzlauer Berg SÃŒd;52,5302587362824;13,4194669622638;Entire home/apt;90;4;5;2016-08-14;0,05;2;15
26543;Helmholtzplatz Bright&Spacious Apt.;112675;Terri;Pankow;Helmholtzplatz;52,5440623911969;13,4213765219883;Entire home/apt;197;3;163;2018-11-05;1,63;1;336
28156;Beautiful apartment in Prenzlauer Berg;55531;Chris + Oliver;Pankow;Prenzlauer Berg Nordwest;52,5467193681494;13,4051170213044;Entire home/apt;70;90;28;2017-04-29;0,29;3;191
28268;Cozy Berlin Friedrichshain for1/6 p;121580;Elena;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,513385231841;13,4699475077797;Entire home/apt;90;5;30;2017-08-02;0,33;1;55
28711;Silent Studio-apt in KreuzkÃ¶lln;84157;Emanuela;NeukÃ¶lln;ReuterstraÃe;52,4861061491348;13,4348169817069;Entire home/apt;60;2;1;2013-08-13;0,02;10;341
29279;Quiet 2 rooms next Helmholtzplatz;54283;Marine;Pankow;Helmholtzplatz;52,5417876499013;13,4238831588998;Entire home/apt;130;60;69;2018-07-31;0,7;3;221
30295;PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG;485838;Michele;Pankow;Helmholtzplatz;52,5459672601899;13,4223588723536;Entire home/apt;100;4;240;2018-10-31;2,42;4;296
31440;Nice Room in Prenzlauerberg,;135046;Thomas;Pankow;Helmholtzplatz;52,5430892935274;13,4224530939918;Private room;44;1;28;2018-10-28;4,94;1;361
33043;Central Bright Bellevue Free Parking WIFI 4G;143180;Claudio&Irina;Mitte;Moabit Ost;52,5214179758149;13,3570822983891;Entire home/apt;62;3;144;2018-11-04;1,44;1;343
35642;Cozy 2 Room Apartment in trendy Prenzlauer Berg;153252;Thorsten;Pankow;Prenzlauer Berg Nord;52,5493612550297;13,4182276696571;Entire home/apt;55;60;1;2010-09-16;0,01;1;89
36480;ChimaysaberlinB&B Single Bedroom;156897;Helen;Charlottenburg-Wilm.;Otto-Suhr-Allee;52,5196765837824;13,3020887641416;Private room;40;1;33;2018-10-19;1,63;2;297
37004;WONDERFUL ROOM for longer stays Berlin Central;159734;Bernd;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,4933892413189;13,3648131350446;Private room;25;5;21;2018-09-25;0,21;1;329
37052;QUIET n SUNNY FLAT in MITTE/PBERG;149093;Rob;Mitte;Brunnenstr. SÃŒd;52,5382203343465;13,4046252440401;Entire home/apt;52;2;307;2018-10-04;3,04;2;25
37836;Weekend in Berlin Party Center - II;272316;Desiree;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4984723731291;13,4401318978101;Private room;39;1;161;2018-10-30;1,59;2;120
38074;3 months min stay in the heart of Prenzlauer Berg!;163384;Alan & Kasia;Pankow;Prenzlauer Berg SÃŒd;52,5368011427639;13,4254663725287;Entire home/apt;80;84;102;2018-07-21;1,03;10;221
38296;nice apartment to rent in NeukÃ¶lln in September!;164310;Oliver;NeukÃ¶lln;Schillerpromenade;52,4858626082932;13,4236190809207;Entire home/apt;80;10;6;2012-07-27;0,06;1;310
40600;room-artist loft berlin kreuzberg ;174970;Judith;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4884422833108;13,4205998193232;Private room;50;3;50;2016-09-26;0,62;2;0
41217;Beautiful room in Prenzlauer Berg;179110;Bn;Pankow;Prenzlauer Berg SÃŒdwest;52,5364078673576;13,4123104489796;Private room;43;2;70;2017-10-08;0,7;1;0
41306;SchÃ¶ner Altbau, 6 min zum Alexanderpatz.;179872;Sebastian;Pankow;Prenzlauer Berg SÃŒd;52,5302801756688;13,423478477243;Private room;40;1;1;2014-09-26;0,02;1;0
42742;Spacious 35m2 in Central Apartment;272316;Desiree;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4966675178124;13,4403397222318;Private room;36;1;25;2018-10-01;0,32;2;217
42809;The Berlin Artist Apartment.;186851;Tina;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,51175980499;13,4553616797243;Entire home/apt;119;4;109;2018-11-04;1,14;1;285
43123;Lux Berlin 1: boutique & design;188116;Lena;Pankow;Prenzlauer Berg SÃŒdwest;52,5394625292909;13,4088340966129;Entire home/apt;90;5;65;2018-10-31;0,66;2;186
44083;Riverside View Apartment;193038;Michaela;Treptow - KÃ¶penick;Alt  Treptow;52,4904006962321;13,4408458963846;Private room;42;3;11;2018-10-01;0,12;1;65
44423;Lovely accommodation in Berlin;194957;Robert;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5088844654041;13,4563609763439;Private room;56;2;101;2018-10-09;1,02;1;32
46161;Design-Room in Mitte/PrenzlauerBerg;201936;Giorgio;Pankow;Prenzlauer Berg SÃŒdwest;52,5325419463493;13,4098256604608;Private room;50;4;151;2018-03-11;1,63;1;0
46172;Chic Loft By Kastanienallee;206338;Heike;Mitte;Brunnenstr. SÃŒd;52,5380897617501;13,4053648991127;Entire home/apt;48;60;38;2018-08-29;0,48;2;264
47938;Lovely 2 BR flat in Prenzlauer Berg;218479;Laura;Pankow;Prenzlauer Berg SÃŒdwest;52,5321907593128;13,4198752453221;Entire home/apt;160;3;35;2018-09-29;0,35;1;32
48955;Cozy studio in the heart of Berlin;211722;Anne;Pankow;Prenzlauer Berg SÃŒdwest;52,5362670627786;13,4208127835494;Entire home/apt;70;4;0;;;1;129
52734;LUMINOUS, LOFT LIKE APT IN F'HAIN;112446;Boris;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5112088070579;13,45727807196;Entire home/apt;88;5;5;2016-10-21;0,07;1;0
54952;Riverfront Panorama;258697;Trent;Mitte;Alexanderplatz;52,5235930800927;13,387406366668;Private room;55;4;156;2018-10-14;1,6;1;33
55298;Couch in Livingroom available;261030;Edna;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,4983793010391;13,3418156869006;Shared room;88;2;0;;;1;365
55455;Panorama Apartment Berlin Centre;261953;Clara;Mitte;Alexanderplatz;52,521145362296;13,4060832668591;Entire home/apt;90;2;1;2011-01-26;0,01;1;67
55853;Hauptstadt-Domizil;264072;Britta;Charlottenburg-Wilm.;Neue KantstraÃe;52,5034030116989;13,2920255270662;Entire home/apt;55;60;11;2016-03-12;0,16;1;285
57049;130 sqm with a view on Mauer Park;54283;Marine;Pankow;Prenzlauer Berg Nordwest;52,5478678350677;13,4041673724323;Entire home/apt;200;3;81;2018-10-16;0,84;3;68
57209;Top apartment in Mitte-Arkonaplatz;272286;Vilius;Mitte;Brunnenstr. SÃŒd;52,5368309627313;13,3989665079505;Entire home/apt;80;3;160;2018-11-03;1,68;1;264
57792;Bungalow mit Garten in Berlin Zehlendorf;275784;Jo;Steglitz - Zehlendorf;OstpreuÃendamm;52,4253098291226;13,3280616113794;Entire home/apt;49;2;3;2017-02-12;0,03;1;0
58041;Apt. in a historic ambience+Wifi from 18.11.2018;145808;Veronika;Mitte;Alexanderplatz;52,5277091011082;13,390902470147;Entire home/apt;55;90;72;2018-05-31;0,88;1;352
58780;light quiet beautiful 4 room flat;281614;Katja;Pankow;Prenzlauer Berg SÃŒd;52,5342046665779;13,4267116691889;Entire home/apt;130;5;32;2018-11-04;0,37;2;211
59249;Lux Berlin 2: luxury & design ;188116;Lena;Pankow;Prenzlauer Berg SÃŒdwest;52,540888680016;13,4094488141574;Entire home/apt;90;5;76;2018-10-25;0,85;2;149
60161;House at the water;898681;Michael;Treptow - KÃ¶penick;SchmÃ¶ckwitz/Karolinenhof/Rauchfangswerder;52,3782796904114;13,6527511492307;Entire home/apt;120;2;7;2018-11-04;0,13;4;86
63052;Beautiful, quiet, clean & central.;307513;Shoshik;NeukÃ¶lln;NeukÃ¶llner Mitte/Zentrum;52,4689212135707;13,4345410142087;Private room;37;6;96;2018-10-01;1,28;2;347
63468;Ferienwohnung Kreuzberg;309364;Kreuzberger;Friedrichshain-Kreuzberg;nÃ¶rdliche Luisenstadt;52,5035982836387;13,4320599213118;Entire home/apt;52;2;89;2018-10-21;1,16;3;323
64245;Room in great area Prenzlauer Berg;312373;Christian;Pankow;Prenzlauer Berg Nordwest;52,5464988865313;13,4063294714675;Private room;44;3;45;2018-06-11;0,5;2;123
64590;Great apt. directly on the canal!;315681;Mirjam;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4949703256007;13,4239914946618;Entire home/apt;102;2;34;2018-05-31;0,39;1;0
68142;Cute sunny room in Friedrichshain;337021;Dayna;Friedrichshain-Kreuzberg;Frankfurter Allee Nord;52,5248935337621;13,4538573478857;Private room;29;2;70;2018-10-28;0,91;1;58
68448;Spacious & quiet apt near Mauerpark;163384;Alan & Kasia;Pankow;Prenzlauer Berg Nord;52,5497981033072;13,4159596088677;Entire home/apt;84;3;220;2018-10-21;2,43;10;315
72079;Italian Design at Kudamm ,WiFi DSL free;261488;P. Charlotte;Charlottenburg-Wilm.;KantstraÃe;52,5078032594987;13,3187072610443;Entire home/apt;80;3;37;2018-10-14;0,55;2;349
73302;Penthouse-Loft  Berlin-SchÃ¶neberg;382638;Hardy;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,5010543438954;13,3503208899025;Entire home/apt;69;3;200;2018-10-29;2,14;1;178
74614;City apartment in Prenzlauer Berg;393047;Fatena;Pankow;Prenzlauer Berg SÃŒdwest;52,5376951267311;13,4085355233732;Entire home/apt;185;4;59;2018-10-14;0,76;1;359
80843;Berlin City Studio Apt.;437628;Oliver;Charlottenburg-Wilm.;Schmargendorf;52,480864127779;13,2899818577503;Entire home/apt;49;2;69;2018-10-13;0,75;1;28
81049;Lux.2BR Apart.BerlinMitte Lic. 01/Z/ZA/ (Phone number hidden by Airbnb);249501;Elfie And  Paul;Mitte;Regierungsviertel;52,5218391780732;13,3906721604653;Entire home/apt;155;4;39;2018-11-06;0,43;1;286
81081;Beautiful Prenzlauer Berg Apt;425899;Bernd+Katja :-);Pankow;Prenzlauer Berg Nord;52,5496809620105;13,4152779104666;Entire home/apt;66;3;238;2018-10-28;2,59;1;69
82893;Apartment 2 Mitte;451311;Ruth;Mitte;Brunnenstr. SÃŒd;52,5319996245031;13,3828475138615;Entire home/apt;70;3;71;2018-10-14;0,8;3;225
83183;Garden Apartment-Prenzlauer Berg;453109;Angela L.;Pankow;Prenzlauer Berg SÃŒd;52,5367732257693;13,424468832801;Entire home/apt;53;2;197;2018-10-29;2,23;2;249
83568;Beautiful stylish Prenzlauer Berg rooftop apt.;455670;Olaf;Pankow;Helmholtzplatz;52,544848667927;13,4189099047973;Entire home/apt;70;3;2;2018-10-22;1,54;1;139
83614;Spacious & Elegant Flat, 2 bathrooms, full kitchen;456085;Louis;Pankow;Helmholtzplatz;52,5462199395873;13,4178574946053;Entire home/apt;92;1;265;2018-10-30;2,86;2;323
85560;Apartment 1 in Berlin;451311;Ruth;Mitte;Brunnenstr. SÃŒd;52,5318150142535;13,3822989737091;Entire home/apt;75;3;47;2018-10-23;1,09;3;328
86514;Sunny room, Kreuzberg ;464827;Hayley;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,498208254075;13,4417787880084;Private room;80;2;44;2017-06-23;0,48;1;365
87549;Independent room in green Kreuzberg;81113;Carol;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4961555600219;13,37397436971;Private room;48;2;167;2018-11-04;1,82;1;336
89102;Bright loft in the Kastanienallee;485838;Michele;Pankow;Prenzlauer Berg SÃŒdwest;52,5405290575441;13,4099495978399;Entire home/apt;114;10;57;2018-11-01;0,63;4;109
91290;Gardenside flat for 2-3 guests;382397;Josep;NeukÃ¶lln;ReuterstraÃe;52,4900380550335;13,4261906412005;Entire home/apt;60;2;44;2017-10-09;0,48;1;2
102882;STORAGE APARTMENT URBAN;86173;Sebastian;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4887830131828;13,4219563183035;Entire home/apt;506;3;112;2017-04-16;1,24;2;0
106290;GREAT apartment in BERLIN-KREUZBERG;542540;Bart;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4972711796702;13,4317677280918;Entire home/apt;50;1;154;2018-10-08;1,69;1;315
106331;Beautiful flat in Prenzlauer Berg;551159;Lauri;Pankow;Prenzlauer Berg SÃŒd;52,5337031481909;13,4366990401857;Entire home/apt;82;60;91;2018-10-20;1;2;319
107968;"GÃ€steapartment Berlin- SchÃ¶neberg

";558933;Frank;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,4985477693238;13,3429405032624;Entire home/apt;80;3;59;2018-10-03;0,66;1;363
109658;Spacious Studio Apartment in Berlin;565578;Miriam;Friedrichshain-Kreuzberg;Frankfurter Allee Nord;52,5242645702381;13,4520671778817;Entire home/apt;60;3;68;2018-10-20;0,77;1;236
111579;IN THE CENTER OF BERLIN.....;570951;S. Kjel;Mitte;Alexanderplatz;52,5272011179571;13,4095282119564;Entire home/apt;70;4;114;2016-06-05;1,33;2;194
114763;In the heart of Berlin!;582007;Julia;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-SÃŒd;52,4880500336481;13,3532503797107;Entire home/apt;130;3;53;2018-10-01;0,74;1;140
115576;Bed and Garden;584750;Axel;Pankow;Blankenfelde/NiederschÃ¶nhausen;52,5815026899783;13,3978581755756;Entire home/apt;69;2;3;2018-06-23;0,05;1;344
116832;Clean & Spacious Kreuzberg Apt;590130;Oliver;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4909442015771;13,3961944296951;Entire home/apt;75;14;3;2015-08-01;0,06;1;310
117649;F43 - your base for Berlin;594164;Ralph&Maria;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,5000436566381;13,4426489634684;Entire home/apt;68;60;84;2017-08-15;0,93;1;266
121888;private, calm but very central;611847;Michel;Friedrichshain-Kreuzberg;Frankfurter Allee Nord;52,5181771973299;13,4639957963859;Entire home/apt;125;7;5;2016-07-17;0,06;1;0
125349;Cottage Berlin-Friedrichshagen;623521;Andre;Treptow - KÃ¶penick;Friedrichshagen;52,4510523003046;13,6352831649371;Entire home/apt;70;2;26;2018-10-18;0,49;1;340
127708;Design Jewel in the midst of MITTE!;632174;StÃ©phanie;Mitte;Alexanderplatz;52,5196488039762;13,410989725181;Entire home/apt;89;2;443;2018-10-23;5,2;5;295
128827;Gorgeous Home in the City's Heart;632971;Kai;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5094832168444;13,4611927328149;Entire home/apt;59;2;16;2018-07-09;0,37;1;302
135097;NÃ€he KaDeWe & KurfÃŒrstendamm;662534;Bernd;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,5008919726729;13,3469184787333;Entire home/apt;96;1;148;2018-10-21;1,67;1;202
138955;Guest Apartment near Viktoriapark;677988;Pigi;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4909747636809;13,3769101464811;Entire home/apt;75;2;191;2016-05-29;2,13;1;0
139769;Mitte Auguststrasse Room Central&Charming;681637;Stefano;Mitte;Alexanderplatz;52,5281057309447;13,3919461634969;Private room;55;2;226;2018-11-03;2,54;1;322
143605;""" Berlin Fuffa's 40m2  apartment """;696492;Gaston & Elena;NeukÃ¶lln;Schillerpromenade;52,4767777748141;13,4243714942969;Entire home/apt;55;30;55;2018-05-07;0,63;1;312
145249;Private Wing of Penthouse - Terrace;703493;Evelyna;Friedrichshain-Kreuzberg;Frankfurter Allee Nord;52,5181921931753;13,4612208779377;Private room;70;3;107;2018-10-12;1,41;1;50
147946;1-room-flat in Prenzlauer Berg/WIFI;712973;Jan;Pankow;Prenzlauer Berg Nordwest;52,5485493618229;13,4085167468443;Entire home/apt;31;183;39;2017-02-12;0,45;1;324
149849;Cosy room in Mitte/Rosenthaler pl.;722460;George;Mitte;Alexanderplatz;52,5298171921792;13,4025980375083;Private room;40;2;47;2018-11-03;0,54;1;84
151249;Quiet, Terrasse, cats, baby equiped;728298;Julia;Friedrichshain-Kreuzberg;SÃŒdliche Friedrichstadt;52,4967789359603;13,4167945043132;Entire home/apt;81;1;10;2018-09-16;0,26;1;342
153015;Central Artist Appartement Prenzlauer Berg;735823;Marc;Pankow;Helmholtzplatz;52,5471455290422;13,4182538058297;Private room;52;3;127;2018-11-06;1,61;1;341
155048;Great 76 qm apartment, 2 balconies;745571;Uli;Pankow;Prenzlauer Berg Nord;52,5425054851;13,4371932631014;Entire home/apt;100;180;4;2011-11-14;0,04;1;282
156010;TWO ROOM APARTMENT ALEXANDERPLATZ ;750165;Angela;Mitte;Alexanderplatz;52,5155351204516;13,4244674204625;Entire home/apt;36;90;95;2017-08-29;1,06;1;1
157546;Facing the canal, Paul Lincke Ufer;311245;FranÃ§ois;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,495449170933;13,4244934054979;Entire home/apt;88;5;45;2018-10-06;0,53;1;291
157839;room in typical berlin-style apt.;671536;Nicole;Mitte;Moabit West;52,5308253749731;13,3422139648354;Private room;29;1;252;2018-10-18;2,96;1;324
158890;Loft Appartment in Berlin Kreuzberg;762526;Stefan;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4990345036111;13,4365368457478;Entire home/apt;100;10;3;2016-06-09;0,08;1;325
159454;Bright, Charming and Modern Altbau;499725;Prasad;Charlottenburg-Wilm.;Wiesbadener StraÃe;52,4783122169229;13,31140194459;Entire home/apt;161;2;43;2018-10-30;0,57;1;222
160517;Nice House in the Near from the Airport Tegel;768932;Sven;Reinickendorf;West 3;52,5965614888153;13,3021774712559;Entire home/apt;65;2;5;2018-11-01;2,11;1;214
161425;Cozy Apartment GauystraÃe near SchÃ¶nhauser Allee;772420;Niko;Pankow;Helmholtzplatz;52,5456676134107;13,4144691750645;Entire home/apt;70;2;103;2018-09-21;1,36;1;42
163287;Very nice apartment, Bergmann area;779623;Stefano;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4917915795528;13,3972706251235;Entire home/apt;29;150;71;2016-04-30;0,8;2;359
163411;Ample parkside apartment Kreuzberg;779213;Jutta;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4973797310771;13,4363749240877;Entire home/apt;80;5;12;2018-08-18;0,14;1;253
167189;Colorful & Bright Spot BerlinKrzbrg;796727;Juan;Friedrichshain-Kreuzberg;nÃ¶rdliche Luisenstadt;52,5018854427702;13,4380144253291;Private room;49;3;374;2018-10-13;4,21;1;5
168615;STAYINTOWN - Apartment in Berlin;803717;Dirk;Pankow;Blankenburg/Heinersdorf/MÃ€rchenland;52,5805504989707;13,4453912194364;Entire home/apt;49;2;6;2018-10-16;0,08;1;159
169603;Luxury  & silent apartment near park and riverside;808393;Oliver;Lichtenberg;Rummelsburger Bucht;52,4965570763461;13,4837936127915;Entire home/apt;59;1;28;2018-11-02;0,35;2;16
169907;Cozy Berlin nest with great access;809715;Donna;Tempelhof - SchÃ¶neberg;Friedenau;52,4698127776622;13,3303684559543;Private room;30;1;13;2017-12-17;0,32;1;0
170582;Room for one Women - Living Community;813767;Lena;Charlottenburg-Wilm.;Wiesbadener StraÃe;52,4674681752062;13,3137366648414;Private room;23;5;15;2018-09-23;0,88;1;190
170652;2-room apartment. Mauerpark TOP!;814026;Frank;Mitte;Brunnenstr. Nord;52,5452986545075;13,3972893575961;Private room;40;5;5;2018-09-21;0,07;1;362
170974;Very Sunny, cozy Room with Balcony :);815530;Onkel;NeukÃ¶lln;NeukÃ¶llner Mitte/Zentrum;52,4793888009748;13,4302096287559;Private room;35;7;48;2018-10-06;0,63;1;89
171746;Lovely oasis in heart of Prenzlberg;819384;Eva-Marion;Pankow;Helmholtzplatz;52,5441059025534;13,4140991628429;Entire home/apt;70;4;84;2018-10-30;1,73;1;320
173153;Beautiful flat 95mÂ² in Berlin Mitte;826546;Wolfgang;Pankow;Prenzlauer Berg SÃŒdwest;52,5305485096506;13,4070167133555;Entire home/apt;80;2;33;2017-10-30;0,38;1;0
174391;BERLIN The most central!;833209;Julija;Mitte;Alexanderplatz;52,5288562870405;13,3968414148647;Private room;42;1;1;2016-05-06;0,03;1;0
174547;Berlin City Apartment 1with WiFi;833995;Ilona;Mitte;Alexanderplatz;52,5110017738657;13,4159507199379;Entire home/apt;96;60;31;2016-10-02;0,37;4;0
174560;2 apartment in Berlin Center, WiFi;833995;Ilona;Mitte;Alexanderplatz;52,5107277465748;13,4179060856194;Entire home/apt;75;60;56;2016-10-01;0,71;4;280
174576;Berlin City Suite 3 mit W-Lan ;833995;Ilona;Mitte;Alexanderplatz;52,509399267526;13,4162288036222;Entire home/apt;96;60;41;2016-10-02;0,5;4;364
174579;Berlin City Studio 4 mit W-Lan;833995;Ilona;Mitte;Alexanderplatz;52,5090548551738;13,4155626853875;Entire home/apt;76;60;81;2016-09-23;0,98;4;0
175667;calm, sunny and central apartment ;839532;Christina;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-SÃŒd;52,4913780109319;13,3433149169608;Entire home/apt;46;60;8;2017-01-11;0,09;2;309
176342;Landmark/Checkpoint Charlie/120m2/2BATH/3BR/NEW;843326;Nino;Friedrichshain-Kreuzberg;SÃŒdliche Friedrichstadt;52,5036314825616;13,3920104209091;Entire home/apt;296;1;18;2018-10-28;0,31;3;331
176355;Landmark/Checkpoint Charlie/110m2/2BATH/2BR/new;843326;Nino;Friedrichshain-Kreuzberg;SÃŒdliche Friedrichstadt;52,5014759195289;13,3911068960905;Entire home/apt;244;1;17;2018-10-02;0,2;3;333
176396;Quiet room direct to metro station;843558;Christine;Reinickendorf;Ost 2;52,5720283559374;13,3507908570272;Private room;20;1;11;2018-10-24;0,48;1;0
176852;Big & sunny apartment in Kreuzberg;845790;Aaike;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4930026827533;13,4408896966588;Entire home/apt;50;3;1;2015-09-23;0,03;1;1
177486;Comfy bright studio flat, 1-3 Pers.;848965;Joscha;Charlottenburg-Wilm.;Volkspark Wilmersdorf;52,478938320034;13,3271576218078;Entire home/apt;59;2;39;2018-10-11;0,49;1;96
178347;Design Apartment Berlin NeukÃ¶lln;853446;Florian;NeukÃ¶lln;ReuterstraÃe;52,4886541692828;13,4289557180771;Entire home/apt;75;2;71;2016-04-17;0,83;1;243
179102;registered, legal hughe penthouse for 1-2 families;857327;Alke;Pankow;Pankow Zentrum;52,5686812824015;13,3996909537809;Entire home/apt;170;2;118;2018-10-24;1,42;1;244
180440;CITY STUDIO WEST@ KurfÃŒrstendamm(monthly discount);864399;Roland & Sam;Charlottenburg-Wilm.;Neue KantstraÃe;52,5006475693561;13,3016193995049;Entire home/apt;39;60;18;2018-09-24;0,23;1;202
181160;KINOMUSEUM;868282;Frank;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4917269556469;13,4210004198366;Private room;39;2;385;2018-10-30;4,36;2;167
183206;Cosy Studio with balcony in Mitte;98237;Damian;Mitte;Alexanderplatz;52,5273549190792;13,3898562713166;Entire home/apt;64;1;389;2018-10-31;4,46;3;287
183918;furnitured red room with balcony;882529;Ariane;Pankow;Pankow SÃŒd;52,5576250068709;13,412937659068;Private room;35;15;15;2016-10-09;0,19;1;0
183988;Luxury Ku'damm Studio +  Bikes 4you;882801;Jennifer;Charlottenburg-Wilm.;Neue KantstraÃe;52,5010276277548;13,3026974949152;Entire home/apt;100;2;350;2018-10-27;4,21;1;272
183996;LargeTopFloor,2Terraces,Prenzl'Berg;882841;Johannes;Pankow;Helmholtzplatz;52,5436282831585;13,4185358079024;Entire home/apt;375;2;36;2018-11-04;0,86;3;224
185960;bright and large furnished room;893191;Juliane;NeukÃ¶lln;ReuterstraÃe;52,4835079318575;13,4355525229156;Private room;29;7;14;2018-08-09;0,16;1;258
186851;CasaKaiser, 2 room apartment;898345;Susanne;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,4928318568365;13,3487295635602;Entire home/apt;32;62;51;2018-08-31;0,65;1;205
186908;Appartement Dressler in Berlin;898681;Michael;Treptow - KÃ¶penick;SchmÃ¶ckwitz/Karolinenhof/Rauchfangswerder;52,3805798649486;13,651156835203;Entire home/apt;45;2;2;2014-08-14;0,03;4;86
