id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
10287002;Modernes Einfamilienhaus im GrÃŒnen;52911033;Christine;Treptow - KÃ¶penick;KÃ¶penick-Nord;52,4612171853983;13,5720031705288;Private room;50;3;47;2018-10-28;1,4;1;317
10288865;Room - central but quiet;27301742;Andreas;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-SÃŒd;52,4832149670154;13,3580763093273;Private room;38;2;126;2018-10-28;3,68;2;17
10289913;Lovely,central room+balcony 23mÂ² :);52933591;Scarlett;Pankow;Prenzlauer Berg Nordwest;52,542238917578;13,4121009218254;Private room;35;2;28;2018-11-04;0,83;1;1
10291544;Private room with a sleeping couch;52943490;Inga;Steglitz - Zehlendorf;Albrechtstr.;52,4639179236368;13,3300805022738;Private room;29;1;77;2018-09-21;2,25;1;341
10300955;comfy save haven;53000871;Stefanie;Mitte;Wedding Zentrum;52,5521596262732;13,3787550478149;Private room;25;1;0;;;1;0
10301548;Kreuzberg Spacious Family Apartment;2118401;Dirk;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4886152146458;13,3916240760561;Entire home/apt;89;7;10;2018-07-24;0,29;1;209
10303017;Ferienhaus - ruhig und im GrÃŒnen;53010959;Karin;Marzahn - Hellersdorf;Mahlsdorf;52,4746511094842;13,6061766727973;Entire home/apt;55;1;4;2018-09-09;0,28;1;286
10305300;Design-Wohnung am Arkona Platz;2429694;Veronika;Mitte;Brunnenstr. SÃŒd;52,5383174898958;13,4029802642964;Entire home/apt;120;3;41;2018-10-29;1,35;1;342
10305735;Apartment near Freie UniversitÃ€t less than 1.000 â¬;12509627;Olaf;Steglitz - Zehlendorf;SchloÃstr.;52,4618666459168;13,3182787274956;Entire home/apt;29;150;2;2018-03-15;0,11;2;326
10309253;Top-Apartment, sonnig und citynah;22675898;Rolf-Dieter;Lichtenberg;Karlshorst;52,4823041254231;13,514861179798;Entire home/apt;52;60;0;;;5;275
10311304;Beautiful + cosy room in Artist's studio;53054907;Voula;Pankow;Prenzlauer Berg SÃŒd;52,531389716881;13,4228101341008;Private room;50;2;108;2018-10-29;3,21;1;297
10311967;Cozy room, close to Hauptbahnhof;53059380;Katharina;Mitte;Moabit Ost;52,5228468945583;13,352452342103;Private room;45;3;28;2018-03-16;0,84;1;35
10313763;Musiker Appartement in X-Berg 36;53067818;Faivel;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4937843105277;13,4362966783546;Entire home/apt;45;7;1;2016-02-11;0,03;1;0
10321414;Charming NeukÃ¶lln-Apt w/ 2 Cats!;53112794;Julia;NeukÃ¶lln;ReuterstraÃe;52,4913520813444;13,4336284233545;Entire home/apt;20;3;0;;;1;0
