<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCC,D,20050111,000000,7.3493,7.3493,7.2303,7.2303,121218,0
CCC,D,20050112,000000,7.1878,7.2728,7.1878,7.2728,4475,0
CCC,D,20050113,000000,7.1452,7.3493,7.1452,7.3493,7978,0
CCC,D,20050114,000000,7.2303,7.3918,7.2303,7.3918,5778,0
CCC,D,20050117,000000,7.2303,7.3918,7.2303,7.3918,9203,0
CCC,D,20050118,000000,7.3493,7.4346,7.2303,7.4346,22181,0
CCC,D,20050119,000000,7.3918,7.4346,7.3918,7.4346,7811,0
CCC,D,20050120,000000,7.2303,7.4686,7.2303,7.4686,2074,0
CCC,D,20050121,000000,7.2728,7.2728,7.1452,7.1452,871,0
CCC,D,20050124,000000,7.2303,7.2303,7.1452,7.2303,2182,0
CCC,D,20050125,000000,7.1878,7.1878,7.1878,7.1878,1267,0
CCC,D,20050126,000000,7.3068,7.4346,7.1878,7.3068,2811,0
CCC,D,20050127,000000,7.1878,7.3068,7.1878,7.3068,6063,0
CCC,D,20050128,000000,7.1878,7.4686,7.1878,7.3918,14448,0
CCC,D,20050131,000000,7.3918,7.3918,7.2303,7.3918,14888,0
CCC,D,20050201,000000,7.2303,7.5535,7.2303,7.5535,11448,0
CCC,D,20050202,000000,7.4686,7.5535,7.4686,7.5535,59844,0
CCC,D,20050203,000000,7.3493,7.5535,7.3493,7.5535,7017,0
CCC,D,20050204,000000,7.5535,7.5535,7.3493,7.5535,4095,0
CCC,D,20050207,000000,7.3493,7.6302,7.3493,7.6302,17669,0
CCC,D,20050208,000000,7.6302,7.6302,7.4346,7.6302,3468,0
CCC,D,20050209,000000,7.4346,7.6302,7.4346,7.6302,7881,0
CCC,D,20050210,000000,7.4346,7.6302,7.4346,7.6302,62182,0
CCC,D,20050211,000000,7.6302,7.7151,7.6302,7.7151,21287,0
CCC,D,20050214,000000,7.6725,7.6725,7.5111,7.6302,2104,0
CCC,D,20050215,000000,7.5876,7.5876,7.5111,7.5876,6926,0
CCC,D,20050216,000000,7.4346,7.6725,7.4346,7.6725,5663,0
CCC,D,20050217,000000,7.6302,7.7491,7.6302,7.7491,55436,0
CCC,D,20050218,000000,7.6725,7.7491,7.6302,7.7491,270761,0
CCC,D,20050221,000000,7.7491,7.7491,7.4346,7.6302,307615,0
CCC,D,20050222,000000,7.7151,7.9534,7.6302,7.8682,221772,0
CCC,D,20050223,000000,7.8343,8.3532,7.8343,8.3532,246669,0
CCC,D,20050224,000000,8.4383,8.4383,8.1914,8.3532,34435,0
CCC,D,20050225,000000,8.234,8.8379,8.234,8.8379,230188,0
CCC,D,20050228,000000,8.7954,8.7954,8.4383,8.6763,300282,0
CCC,D,20050301,000000,8.7187,8.9996,8.5571,8.8379,138667,0
CCC,D,20050302,000000,8.7187,8.7954,8.5571,8.6763,132463,0
CCC,D,20050303,000000,8.6763,8.8379,8.6763,8.7954,30048,0
CCC,D,20050304,000000,8.7954,8.7954,8.5912,8.5912,5671,0
CCC,D,20050307,000000,8.5912,8.9144,8.5147,8.8379,40657,0
CCC,D,20050308,000000,8.8379,8.9996,8.6763,8.7954,102306,0
